,location,bhk,total_sqft,bath,price,price_per_sqft
0,1st Block Jayanagar,4,2850.0,4.0,428.0,15017.543859649122
1,1st Block Jayanagar,3,1630.0,3.0,194.0,11901.840490797545
2,1st Block Jayanagar,3,1875.0,2.0,235.0,12533.333333333334
3,1st Block Jayanagar,3,1200.0,2.0,130.0,10833.333333333334
4,1st Block Jayanagar,2,1235.0,2.0,148.0,11983.805668016194
5,1st Block Jayanagar,4,2750.0,4.0,413.0,15018.181818181818
6,1st Block Jayanagar,4,2450.0,4.0,368.0,15020.408163265307
7,1st Phase JP Nagar,4,2825.0,4.0,250.0,8849.557522123894
8,1st Phase JP Nagar,3,1875.0,3.0,167.0,8906.666666666666
9,1st Phase JP Nagar,5,1500.0,5.0,85.0,5666.666666666667
10,1st Phase JP Nagar,3,2065.0,4.0,210.0,10169.49152542373
11,1st Phase JP Nagar,3,2024.0,3.0,157.0,7756.916996047431
12,1st Phase JP Nagar,3,2059.0,3.0,225.0,10927.634774162214
13,1st Phase JP Nagar,2,1394.0,2.0,100.0,7173.601147776184
14,1st Phase JP Nagar,2,1077.0,2.0,93.0,8635.097493036212
15,1st Phase JP Nagar,2,1566.0,2.0,180.0,11494.252873563219
16,1st Phase JP Nagar,1,840.0,2.0,50.0,5952.380952380952
17,1st Phase JP Nagar,3,1590.0,3.0,131.0,8238.993710691824
18,1st Phase JP Nagar,3,2180.0,3.0,210.0,9633.02752293578
19,1st Phase JP Nagar,2,1180.0,2.0,88.5,7500.0
20,1st Phase JP Nagar,2,1200.0,2.0,86.0,7166.666666666667
21,1st Phase JP Nagar,2,1394.0,2.0,85.0,6097.5609756097565
22,1st Phase JP Nagar,3,2077.0,3.0,175.0,8425.613866153106
23,1st Phase JP Nagar,4,4550.0,2.0,240.0,5274.725274725275
24,1st Phase JP Nagar,2,1205.0,2.0,85.0,7053.941908713693
25,1st Phase JP Nagar,4,2615.0,5.0,222.0,8489.483747609942
26,1st Phase JP Nagar,2,900.0,2.0,75.0,8333.333333333334
27,2nd Phase Judicial Layout,3,1450.0,2.0,50.75,3500.0
28,2nd Phase Judicial Layout,2,1150.0,2.0,40.25,3500.0
29,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,3500.0
30,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,3500.0
31,2nd Phase Judicial Layout,2,900.0,2.0,41.0,4555.555555555556
32,2nd Phase Judicial Layout,3,1681.0,3.0,69.0,4104.699583581201
33,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,3500.0
