,location,bhk,total_area,bath,balcony,price,price_per_sqft
0,1st Block Jayanagar,3,1630.0,3.0,2.0,19400000.0,11901.840490797545
1,1st Block Jayanagar,3,1875.0,2.0,3.0,23500000.0,12533.333333333334
2,1st Block Jayanagar,3,1200.0,2.0,0.0,13000000.0,10833.333333333334
3,1st Block Jayanagar,2,1235.0,2.0,2.0,14800000.0,11983.805668016194
4,1st Phase JP Nagar,4,2825.0,4.0,3.0,25000000.0,8849.557522123894
5,1st Phase JP Nagar,3,1875.0,3.0,1.0,16700000.0,8906.666666666666
6,1st Phase JP Nagar,3,2024.0,3.0,1.0,15700000.0,7756.916996047431
7,1st Phase JP Nagar,2,1394.0,2.0,1.0,10000000.0,7173.601147776184
8,1st Phase JP Nagar,2,1077.0,2.0,2.0,9300000.0,8635.097493036212
9,1st Phase JP Nagar,3,1590.0,3.0,3.0,13100000.0,8238.993710691824
10,1st Phase JP Nagar,3,2180.0,3.0,2.0,21000000.0,9633.02752293578
11,1st Phase JP Nagar,2,1180.0,2.0,2.0,8850000.0,7500.0
12,1st Phase JP Nagar,2,1200.0,2.0,1.0,8600000.0,7166.666666666667
13,1st Phase JP Nagar,3,2077.0,3.0,3.0,17500000.0,8425.613866153106
14,1st Phase JP Nagar,2,1205.0,2.0,1.0,8500000.0,7053.941908713693
15,1st Phase JP Nagar,4,2615.0,5.0,3.0,22200000.0,8489.483747609942
16,1st Phase JP Nagar,2,900.0,2.0,1.0,7500000.0,8333.333333333334
17,2nd Phase Judicial Layout,3,1450.0,2.0,1.0,5075000.0,3500.0
18,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,4025000.0,3500.0
19,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,4725000.0,3500.0
20,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,4725000.0,3500.0
21,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,4725000.0,3500.0
22,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,4025000.0,3500.0
23,2nd Stage Nagarbhavi,6,2400.0,8.0,3.0,45000000.0,18750.0
27,2nd Stage Nagarbhavi,4,1200.0,4.0,1.0,22500000.0,18750.0
32,2nd Stage Nagarbhavi,4,1500.0,3.0,2.0,23000000.0,15333.333333333334
35,5th Block Hbr Layout,3,1270.0,2.0,2.0,7000000.0,5511.811023622047
36,5th Block Hbr Layout,4,1200.0,4.0,2.0,20500000.0,17083.333333333332
38,5th Block Hbr Layout,6,5100.0,5.0,3.0,30000000.0,5882.35294117647
40,5th Phase JP Nagar,2,1075.0,2.0,2.0,6000000.0,5581.395348837209
41,5th Phase JP Nagar,2,1150.0,3.0,3.0,5250000.0,4565.217391304348
42,5th Phase JP Nagar,2,1256.0,2.0,1.0,6280000.0,5000.0
43,5th Phase JP Nagar,2,1207.0,2.0,2.0,6300000.0,5219.552609776305
44,5th Phase JP Nagar,3,1725.0,2.0,2.0,10000000.0,5797.101449275362
45,5th Phase JP Nagar,2,1440.0,2.0,2.0,6000000.0,4166.666666666667
46,5th Phase JP Nagar,3,1700.0,2.0,3.0,10000000.0,5882.35294117647
47,5th Phase JP Nagar,3,1485.0,2.0,2.0,6700000.0,4511.784511784512
48,5th Phase JP Nagar,5,2500.0,5.0,1.0,11000000.0,4400.0
49,5th Phase JP Nagar,1,600.0,1.0,1.0,3000000.0,5000.0
50,5th Phase JP Nagar,2,1390.0,2.0,2.0,6500000.0,4676.258992805755
